epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.4674,2.25415,2.44382,1.50843,0.4361,0.4249,0.34501,0.07497,3.12644,1.63982,1.83946,0.000331641,0.000331641,0.000331641
2,102.2,1.89498,1.3094,1.28952,0.8594,0.83845,0.90451,0.50953,1.52384,0.951,1.1452,0.000651808,0.000651808,0.000651808
3,141.692,1.82184,1.23111,1.26413,0.76776,0.68744,0.74502,0.25114,2.41397,1.17898,1.55811,0.000958775,0.000958775,0.000958775
4,180.589,1.77223,1.20213,1.24453,0.6015,0.56312,0.54558,0.12247,2.99231,1.37424,1.84883,0.0009406,0.0009406,0.0009406
5,219.574,1.71719,1.16666,1.2205,0.77266,0.73287,0.76599,0.20038,2.63314,1.14242,1.58278,0.0009208,0.0009208,0.0009208
6,258.977,1.69571,1.12902,1.21439,0.7974,0.75831,0.77259,0.2169,2.52473,1.07139,1.53125,0.000901,0.000901,0.000901
7,298.81,1.64031,1.09754,1.18237,0.87618,0.84624,0.90785,0.35743,2.04195,0.91845,1.33298,0.0008812,0.0008812,0.0008812
8,338.74,1.64474,1.0911,1.18545,0.75966,0.72262,0.72234,0.17127,2.86214,1.10332,1.75669,0.0008614,0.0008614,0.0008614
9,379.356,1.59383,1.07423,1.17007,0.91823,0.89858,0.94581,0.54312,1.47361,0.6792,1.11847,0.0008416,0.0008416,0.0008416
10,418.871,1.56343,1.0614,1.1544,0.94718,0.86817,0.94832,0.48845,1.64907,0.73607,1.16009,0.0008218,0.0008218,0.0008218
11,457.393,1.54307,1.05407,1.14709,0.91982,0.86294,0.92758,0.34923,2.1609,0.87628,1.3623,0.000802,0.000802,0.000802
12,496.91,1.53771,1.04225,1.14478,0.93959,0.90101,0.96902,0.63811,1.18509,0.62573,1.0298,0.0007822,0.0007822,0.0007822
13,536.832,1.51471,1.03227,1.13831,0.87577,0.88041,0.90137,0.33765,2.20668,0.92641,1.45211,0.0007624,0.0007624,0.0007624
14,576.446,1.51556,1.03235,1.13751,0.95367,0.93086,0.97112,0.67885,1.03612,0.55402,0.9938,0.0007426,0.0007426,0.0007426
15,615.716,1.49847,0.99653,1.12377,0.85713,0.81964,0.83513,0.25045,2.53409,0.89237,1.5721,0.0007228,0.0007228,0.0007228
16,655.53,1.47645,0.99619,1.12217,0.95095,0.94711,0.978,0.69765,1.02943,0.49684,0.98722,0.000703,0.000703,0.000703
17,696.199,1.47685,0.99999,1.1152,0.93042,0.92997,0.96043,0.50528,1.62178,0.632,1.15502,0.0006832,0.0006832,0.0006832
18,736.082,1.47785,0.98248,1.11689,0.94422,0.92985,0.96788,0.58065,1.361,0.56309,1.08513,0.0006634,0.0006634,0.0006634
19,775.822,1.44795,0.96201,1.10922,0.92933,0.92754,0.96592,0.48676,1.76015,0.69328,1.20219,0.0006436,0.0006436,0.0006436
20,816.061,1.44813,0.95011,1.10588,0.94707,0.94052,0.97436,0.64263,1.18393,0.55029,1.02602,0.0006238,0.0006238,0.0006238
21,856.824,1.42647,0.94929,1.10068,0.96778,0.94534,0.9801,0.69195,1.03804,0.49437,0.98774,0.000604,0.000604,0.000604
22,896.899,1.45707,0.9423,1.11254,0.95109,0.91404,0.96111,0.45558,1.8529,0.67293,1.24583,0.0005842,0.0005842,0.0005842
23,936.982,1.41518,0.90248,1.09729,0.95236,0.92481,0.96283,0.50284,1.7361,0.64807,1.19711,0.0005644,0.0005644,0.0005644
24,978.651,1.40714,0.89278,1.09121,0.94929,0.92728,0.97353,0.56054,1.51054,0.61425,1.10987,0.0005446,0.0005446,0.0005446
25,1043.38,1.40548,0.88708,1.09816,0.94897,0.93957,0.97561,0.61923,1.26439,0.53783,1.04353,0.0005248,0.0005248,0.0005248
26,1091.94,1.38093,0.85586,1.08265,0.95245,0.9571,0.97382,0.62988,1.23491,0.5188,1.03313,0.000505,0.000505,0.000505
